t_min,glucose_true_mg_dl,sensor_mg_dl,sensor_valid,carbs_g_step,iir_u_per_h,exercise_pct,hr_bpm
75.0000,109.8751,109.8751,1,0.0000,0.4541,0.0000,0.0000
76.0000,109.9814,0.0000,0,0.0000,0.4541,0.0000,0.0000
77.0000,110.0872,0.0000,0,0.0000,0.4541,0.0000,0.0000
78.0000,110.1927,0.0000,0,0.0000,0.4541,0.0000,0.0000
79.0000,110.2978,0.0000,0,0.0000,0.4541,0.0000,0.0000
80.0000,110.4024,110.4024,1,0.0000,0.4541,0.0000,0.0000
81.0000,110.5066,0.0000,0,0.0000,0.4541,0.0000,0.0000
82.0000,110.6103,0.0000,0,0.0000,0.4541,0.0000,0.0000
83.0000,110.7135,0.0000,0,0.0000,0.4541,0.0000,0.0000
84.0000,110.8162,0.0000,0,0.0000,0.4541,0.0000,0.0000
85.0000,110.9184,110.9184,1,0.0000,0.4541,0.0000,0.0000
86.0000,111.0200,0.0000,0,0.0000,0.4541,0.0000,0.0000
87.0000,111.1211,0.0000,0,0.0000,0.4541,0.0000,0.0000
88.0000,111.2216,0.0000,0,0.0000,0.4541,0.0000,0.0000
89.0000,111.3216,0.0000,0,0.0000,0.4541,0.0000,0.0000
90.0000,111.4209,111.4209,1,0.0000,0.4541,0.0000,0.0000
91.0000,111.5197,0.0000,0,0.0000,0.4541,0.0000,0.0000
92.0000,111.6178,0.0000,0,0.0000,0.4541,0.0000,0.0000
93.0000,111.7153,0.0000,0,0.0000,0.4541,0.0000,0.0000
94.0000,111.8122,0.0000,0,0.0000,0.4541,0.0000,0.0000
95.0000,111.9085,111.9085,1,0.0000,0.4541,0.0000,0.0000
96.0000,112.0041,0.0000,0,0.0000,0.4541,0.0000,0.0000
97.0000,112.0990,0.0000,0,0.0000,0.4541,0.0000,0.0000
98.0000,112.1933,0.0000,0,0.0000,0.4541,0.0000,0.0000
99.0000,112.2869,0.0000,0,0.0000,0.4541,0.0000,0.0000
100.0000,112.3798,112.3798,1,0.0000,0.4541,0.0000,0.0000
101.0000,112.4721,0.0000,0,0.0000,0.4541,0.0000,0.0000
102.0000,112.5636,0.0000,0,0.0000,0.4541,0.0000,0.0000
103.0000,112.6544,0.0000,0,0.0000,0.4541,0.0000,0.0000
104.0000,112.7446,0.0000,0,0.0000,0.4541,0.0000,0.0000
105.0000,112.8340,112.8340,1,0.0000,0.4541,0.0000,0.0000
106.0000,112.9227,0.0000,0,0.0000,0.4541,0.0000,0.0000
107.0000,113.0107,0.0000,0,0.0000,0.4541,0.0000,0.0000
108.0000,113.0980,0.0000,0,0.0000,0.4541,0.0000,0.0000
109.0000,113.1845,0.0000,0,0.0000,0.4541,0.0000,0.0000
110.0000,113.2703,113.2703,1,0.0000,0.4541,0.0000,0.0000
111.0000,113.3554,0.0000,0,0.0000,0.4541,0.0000,0.0000
112.0000,113.4397,0.0000,0,0.0000,0.4541,0.0000,0.0000
113.0000,113.5234,0.0000,0,0.0000,0.4541,0.0000,0.0000
114.0000,113.6062,0.0000,0,0.0000,0.4541,0.0000,0.0000
115.0000,113.6884,113.6884,1,0.0000,0.4541,0.0000,0.0000
116.0000,113.7697,0.0000,0,0.0000,0.4541,0.0000,0.0000
117.0000,113.8504,0.0000,0,0.0000,0.4541,0.0000,0.0000
118.0000,113.9303,0.0000,0,0.0000,0.4541,0.0000,0.0000
119.0000,114.0094,0.0000,0,0.0000,0.4541,0.0000,0.0000
120.0000,114.0878,114.0878,1,0.0000,0.4541,0.0000,0.0000
121.0000,114.1655,0.0000,0,0.0000,0.4541,0.0000,0.0000
122.0000,114.2424,0.0000,0,0.0000,0.4541,0.0000,0.0000
123.0000,114.3186,0.0000,0,0.0000,0.4541,0.0000,0.0000
124.0000,114.3940,0.0000,0,0.0000,0.4541,0.0000,0.0000
125.0000,114.4687,114.4687,1,0.0000,0.4541,0.0000,0.0000
126.0000,114.5427,0.0000,0,0.0000,0.4541,0.0000,0.0000
127.0000,114.6159,0.0000,0,0.0000,0.4541,0.0000,0.0000
128.0000,114.6883,0.0000,0,0.0000,0.4541,0.0000,0.0000
129.0000,114.7601,0.0000,0,0.0000,0.4541,0.0000,0.0000
130.0000,114.8310,114.8310,1,0.0000,0.4541,0.0000,0.0000
131.0000,114.9013,0.0000,0,0.0000,0.4541,0.0000,0.0000
132.0000,114.9708,0.0000,0,0.0000,0.4541,0.0000,0.0000
133.0000,115.0396,0.0000,0,0.0000,0.4541,0.0000,0.0000
134.0000,115.1077,0.0000,0,0.0000,0.4541,0.0000,0.0000
135.0000,115.1750,115.1750,1,0.0000,0.4541,0.0000,0.0000
136.0000,115.2416,0.0000,0,0.0000,0.4541,0.0000,0.0000
137.0000,115.3075,0.0000,0,0.0000,0.4541,0.0000,0.0000
138.0000,115.3727,0.0000,0,0.0000,0.4541,0.0000,0.0000
